NUTS3_Desc,Population,Density,Circle,Angle,NUTS3_Cod,NUTS3_2021,Cod3,Population2,Area,Densidade
A Coruña,2000,70,7,320,ES111,A Coruña,COR,1123884,7949,141.3868411
Açores,2000,70,10,290,PT200,Região Autónoma dos Açores,RAA,240125,2322,103.413006
Albacete,2000,70,3,148,ES421,Albacete,ALB,387529,14927,25.96161318
Alentejo Central,2000,70,5,250,PT187,Alentejo Central (NUTS 2021),ALC,153155,7393,20.71621804
Alentejo Litoral,2000,70,7,250,PT181,Alentejo Litoral (NUTS 2021),ALL,99763,5309,18.7912978
Algarve,2000,70,7,235,PT150,Algarve,AGV,478618,4997,95.78106864
Alicante,2000,70,5,130,ES521,Alicante/Alacant,ALI,1955268,5817,336.1299639
Almería,2000,70,5,165,ES611,Almería,ALM,753364,8775,85.85344729
Alto Alentejo,2000,70,5,260,PT186,Alto Alentejo (NUTS 2021),ALA,104304,6084,17.14398422
Alto Minho,2000,70,6,305,PT111,Alto Minho,AMN,232674,2219,104.8553402
Alto Tâmega,2000,70,5,305,PT11B,Alto Tâmega e Barroso,ATB,83510,2922,28.5797399
AM Lisboa,2000,70,7,260,PT170,Área Metropolitana de Lisboa (NUTS 2021),AML,2921564,3015,969.0096186
AM Porto,2000,70,6,292,PT11A,Área Metropolitana do Porto,AMP,1779994,2041,872.1185693
Araba,2000,70,3,25,ES211,Araba/Álava,ARA,336308,3037,110.7369114
Asturias,2000,70,5,340,ES120,Asturias,AST,1006060,10601,94.9023677
Ave,2000,70,5,300,PT119,Ave,AVE,420418,1451,289.7436251
Ávila,2000,70,1,280,ES411,Ávila,AVL,159764,8050,19.84645963
Badajoz,2000,70,3,230,ES431,Badajoz,BDZ,666049,21766,30.60043187
Baixo Alentejo,2000,70,6,240,PT184,Baixo Alentejo (NUTS 2021),BAL,115513,8543,13.52136252
Barcelona,2000,70,7,85,ES511,Barcelona,BAR,5797356,7729,750.078406
Beira Baixa,2000,70,4,265,PT16H,Beira Baixa (NUTS 2021),BBX,81101,4615,17.57334778
Beiras e SE,2000,70,4,280,PT16J,Beiras e Serra da Estrela (NUTS 2021),BSE,208913,6305,33.13449643
Bizkaia,2000,70,4,20,ES213,Bizkaia,BIZ,1153282,2212,521.375226
Burgos,2000,70,2,10,ES412,Burgos,BUR,357370,14291,25.00664754
Cáceres,2000,70,2,253,ES432,Cáceres,CAC,388257,19868,19.54182605
Cádiz,2000,70,7,210,ES612,Cádiz,CAD,1254866,7436,168.7555137
Cantabria,2000,70,4,0,ES130,Cantabria,CAN,588387,5326,110.4744649
Castellón,2000,70,4,100,ES522,Castellón/Castelló,CAS,604086,6632,91.08655006
Cávado,2000,70,6,300,PT112,Cávado,CAV,424505,1246,340.6942215
Ceuta,2000,70,8,205,ES630,Ceuta,CEU,83052,20,4152.6
Ciudad Real,2000,70,2,190,ES422,Ciudad Real,CDR,491927,19814,24.82724336
Córdoba,2000,70,4,205,ES613,Córdoba,CDB,775002,13772,56.27374383
Cuenca,2000,70,1,120,ES423,Cuenca,CUE,198436,17140,11.57736289
Douro,2000,70,4,297,PT11D,Douro,DRO,183705,4032,45.56175595
Eivissa y Formentera,2000,70,8,110,ES531,Eivissa y Formentera,EFT,170569,655,260.410687
El Hierro,2000,70,10,225,ES703,El Hierro,EHR,11659,269,43.34200743
Fuerteventura,2000,70,10,205,ES704,Fuerteventura,FTV,124152,1660,74.79036145
Gipuzkoa,2000,70,4,30,ES212,Gipuzkoa,GUI,726712,1980,367.0262626
Girona,2000,70,8,80,ES512,Girona,GIR,808672,5909,136.8542901
Gran Canaria,2000,70,10,210,ES705,Gran Canaria,GCN,862893,1560,553.1365385
Granada,2000,70,5,183,ES614,Granada,GRA,934072,12648,73.8513599
Guadalajara,1500,40,0,70,ES424,Guadalajara,GUA,275082,12210,22.52923833
Huelva,2000,70,6,230,ES615,Huelva,HLV,534084,10128,52.73341232
Huesca,2000,70,5,65,ES241,Huesca,HSC,226878,15637,14.50904905
Jaén,2000,70,3,178,ES616,Jaén,JAE,620637,13496,45.98673681
La Gomera,2000,70,10,220,ES706,La Gomera,LGM,22361,370,60.43513514
La Palma,2000,70,10,230,ES707,La Palma,LPM,84338,708,119.1214689
La Rioja,2000,70,2,27,ES230,La Rioja,LRJ,322282,5045,63.8814668
Lanzarote,2000,70,10,200,ES708,Lanzarote,LNZ,158798,846,187.7044917
León,2000,70,4,330,ES413,León,LEO,448573,15581,28.78974392
Lezíria do Tejo,2000,70,6,260,PT185,Lezíria do Tejo (NUTS 2021),LZT,244259,4275,57.13660819
Lleida,2000,70,6,73,ES513,Lleida,LLD,447343,12169,36.76086778
Lugo,2000,70,6,325,ES112,Lugo,LUG,324267,9855,32.90380518
Madeira,2000,70,10,270,PT300,Região Autónoma da Madeira,RAM,254070,802,316.7955112
Madrid,1000,50,-1.2,0,ES300,Madrid,MAD,6871903,8031,855.6721454
Málaga,2000,70,6,205,ES617,Málaga,MAL,1752728,7309,239.8040772
Mallorca,2000,70,8,105,ES532,Mallorca,MLC,940332,3640,258.332967
Médio Tejo,2000,70,5,268,PT16I,Médio Tejo (NUTS 2021),MTJ,231874,3344,69.340311
Melilla,2000,70,8,190,ES640,Melilla,MLL,85493,14,6106.642857
Menorca,2000,70,8,100,ES533,Menorca,MEN,99005,695,142.4532374
Murcia,2000,70,4,150,ES620,Murcia,MUR,1551692,11314,137.1479583
Navarra,2000,70,4,45,ES220,Navarra,NAV,672155,10391,64.68626696
Oeste,2000,70,7,268,PT16B,Oeste (NUTS 2021),OES,379085,2220,170.759009
Ourense,2000,70,5,312,ES113,Ourense,OUR,304563,7273,41.87584216
Palencia,2000,70,2,350,ES414,Palencia,PAL,157787,8052,19.59600099
Pontevedra,2000,70,6,315,ES114,Pontevedra,PVD,946710,4494,210.6608812
Região de Aveiro,2000,70,6,285,PT16D,Região de Aveiro (NUTS 2021),RAV,376760,1693,222.5398701
Região de Coimbra,2000,70,5,275,PT16E,Região de Coimbra (NUTS 2021),RCO,441446,4336,101.8095018
Região de Leiria,2000,70,6,270,PT16F,Região de Leiria (NUTS 2021),RLE,292139,2449,119.2890976
Salamanca,2000,70,2,290,ES415,Salamanca,SAL,327089,12350,26.48493927
Segovia,2000,70,0,320,ES416,Segovia,SEG,155332,6924,22.43385326
Sevilla,2000,70,5,215,ES618,Sevilla,SEV,1959394,14036,139.5977486
Soria,2000,70,1,35,ES417,Soria,SOR,89528,10306,8.686978459
Tâmega e Sousa,2000,70,5,293,PT11C,Tâmega e Sousa,TMS,408425,1832,222.9394105
Tarragona,2000,70,5,85,ES514,Tarragona,TRR,848592,6303,134.6330319
Tenerife,2000,70,10,215,ES709,Tenerife,TEM,948815,2034,466.4773845
Terras TM,2000,70,4,307,PT11E,Terras de Trás-os-Montes,TTM,107063,5544,19.31150794
Teruel,2000,70,3,95,ES242,Teruel,TER,135046,14810,9.118568535
Toledo,2000,70,0,200,ES425,Toledo,TOL,731112,15367,47.57675538
Valencia,2000,70,3,118,ES523,Valencia/València,VAL,2656841,10806,245.8672034
Valladolid,2000,70,2,330,ES418,Valladolid,VDD,521333,8110,64.28273736
Viseu Dão Lafões,2000,70,5,285,PT16G,Viseu Dão Lafões (NUTS 2021),VDL,253638,3238,78.33168623
Zamora,2000,70,3,320,ES419,Zamora,ZAM,166927,10561,15.80598428
Zaragoza,2000,70,3,65,ES243,Zaragoza,ZAR,979365,17275,56.69261939
