Ano;Adultos;Idosos;Jovens
1950;5307687;584410;2494260
1951;5365474;594686;2487388
1952;5403233;608312;2486195
1953;5433296;619860;2496472
1954;5466192;635779;2495194
1955;5494759;638800;2507624
1956;5498009;662025;2529686
1957;5505590;661237;2557619
1958;5514540;675043;2582110
1959;5537809;689269;2599416
1960;5561500;705157;2606027
1961;5589118;711946;2591189
1962;5590053;727113;2584412
1963;5582747;736825;2589724
1964;5579743;746185;2580180
1965;5567482;748352;2589174
1966;5526234;778631;2588310
1967;5492574;785999;2591946
1968;5460606;802944;2579213
1969;5419840;816962;2563490
1970;5375144;830610;2530256
1971;5330442;848833;2451978
1972;5417472;874324;2477988
1973;5503953;900654;2492141
1974;5593483;927181;2498508
1975;5680404;947308;2512323
1976;5752417;987945;2525020
1977;5834974;1012288;2547757
1978;5919421;1044524;2559030
1979;6005326;1073831;2554379
1980;6093224;1107280;2538317
1981;6180817;1134866;2515999
1982;6244979;1155476;2481367
1983;6300755;1174010;2452260
1984;6357324;1184674;2418619
1985;6406331;1198422;2384268
1986;6441799;1226932;2336039
1987;6477374;1256952;2282963
1988;6514788;1286164;2222166
1989;6546375;1317601;2159526
1990;6577978;1351832;2087317
1991;6609548;1381233;2006784
1992;6635340;1413660;1926266
1993;6663763;1444876;1873582
1994;6692078;1474306;1835601
1995;6730490;1504470;1799264
1996;6766597;1537661;1764015
1997;6801663;1567861;1737493
1998;6837923;1601197;1714961
1999;6873658;1631399;1699693
2000;6914825;1655886;1691277
2001;6963708;1696657;1678898
2002;6992716;1732165;1679494
2003;7012553;1762143;1682756
2004;7018221;1790182;1680832
2005;7015434;1822633;1675742
2006;7018322;1845533;1668965
2007;7027872;1870232;1656969
2008;7039093;1893127;1643809
2009;7033687;1921248;1630957
2010;7025054;1953774;1617966
2011;7001083;1983777;1595148
2012;6961819;2014949;1572876
2013;6904445;2039901;1550182
2014;6835575;2077134;1521833
2015;6779380;2112597;1490225
2016;6739650;2148199;1460820
2017;6690494;2183934;1442409
2018;6653841;2220491;1423891
2019;6624816;2249067;1407564
2020;6618492;2282919;1396988
2021;6605954;2309400;1382630
2022;6585141;2333633;1363448
2023;6545219;2369818;1344471
2024;6506155;2406466;1323081
2025;6463718;2442065;1305212
2026;6419079;2482964;1283194
2027;6370686;2523432;1264857
2028;6316404;2563379;1252301
2029;6255641;2602563;1246499
2030;6191691;2643922;1240889
2031;6132929;2682821;1232114
2032;6077216;2719461;1222025
2033;6022767;2753054;1212686
2034;5969314;2785394;1203201
2035;5914898;2817410;1194112
2036;5854950;2851659;1187281
2037;5786743;2889279;1184003
2038;5716795;2926932;1180761
2039;5647042;2962981;1177896
2040;5572805;3002202;1175006
2041;5496077;3042601;1171933
2042;5419933;3081358;1168299
2043;5347427;3115661;1164128
2044;5286721;3137386;1158861
2045;5230234;3154065;1152805
2046;5173961;3169881;1145914
2047;5123900;3178975;1138430
2048;5074880;3186104;1130404
2049;5032198;3186712;1121486
2050;4992130;3184097;1111964
2051;4959639;3173071;1101709
2052;4929435;3158867;1091351
2053;4900180;3142495;1081009
2054;4870679;3126038;1070278
2055;4841934;3107883;1059494
2056;4811330;3090613;1049037
2057;4779796;3073437;1038833
2058;4748901;3054918;1028875
2059;4717165;3036146;1019672
2060;4687890;3014025;1010885
2061;4656680;2993083;1002752
2062;4623162;2974059;995095
2063;4586906;2957135;987770
2064;4548901;2941749;980900
2065;4506476;2930453;974604
2066;4460307;2922455;969000
2067;4421926;2906890;963887
2068;4382534;2892610;959442
2069;4343508;2878453;955367
2070;4306367;2863136;951640
2071;4267392;2850701;947987
2072;4231916;2836039;944495
2073;4198622;2820515;941263
2074;4163306;2808585;938038
2075;4131323;2794842;935030
2076;4095846;2786494;931990
2077;4063924;2776657;928185
2078;4037129;2763074;924397
2079;4016589;2744993;920471
2080;3996186;2728322;916247
2081;3972380;2716313;912233
2082;3947088;2706981;907936
2083;3922816;2697910;903208
2084;3897906;2690303;898377
2085;3873290;2682993;893413
2086;3850764;2673968;888029
2087;3831951;2661469;882578
2088;3813649;2648722;876976
2089;3795576;2635669;871268
2090;3777728;2622394;865395
2091;3760284;2608916;859154
2092;3742086;2595628;853532
2093;3723538;2582445;848163
2094;3704699;2569692;843012
2095;3685505;2557107;837934
2096;3666139;2545019;832911
2097;3646245;2533443;828233
2098;3626231;2522253;823665
2099;3605610;2512124;819177
2100;3584747;2502673;814985
2101;3563400;2493823;811298
