Idade;Homens;Mulheres
0;41067;38962
1;41446;39384
2;43637;41396
3;44979;42667
4;44782;43461
5;44731;43117
6;45545;43396
7;44598;42978
8;43350;41019
9;43134;41560
10;46976;44471
11;49902;47484
12;51166;49979
13;49649;47945
14;52067;49623
15;50994;48949
16;52242;50593
17;54862;52228
18;53820;51957
19;55395;53270
20;56129;53795
21;56060;53804
22;60594;58532
23;58917;57596
24;57133;55768
25;56264;55698
26;56008;54288
27;54963;53713
28;54093;53605
29;55460;56086
30;55460;56564
31;56538;57145
32;56293;57251
33;55802;56732
34;56349;57741
35;56063;58069
36;56621;59359
37;58025;61097
38;61795;65771
39;63027;67483
40;65619;71275
41;65904;72305
42;69005;75636
43;69029;75581
44;70740;78255
45;76934;84417
46;78265;86716
47;78661;86578
48;76665;85955
49;74483;83379
50;74442;83693
51;73783;82704
52;71649;79815
53;69767;77885
54;69143;77402
55;68328;78084
56;69096;79002
57;69519;79484
58;69676;80424
59;67740;78417
60;67315;78048
61;66708;77550
62;66603;76418
63;62704;73179
64;62094;73144
65;61027;71855
66;58754;69555
67;58342;70357
68;56240;67453
69;53790;65911
70;54090;67029
71;54003;65487
72;52186;63946
73;49831;61457
74;48962;63132
75;42675;56246
76;40907;55477
77;40789;56686
78;36655;52088
79;34015;48593
80;30390;44513
81;28612;42401
82;27167;41705
83;25197;40373
84;23554;38316
85;20192;35310
86;19324;34339
87;16582;31597
88;13631;26282
89;11256;23697
90;9389;20176
91;7975;16993
92;4504;11395
93;3617;9305
94;2620;7527
95;1848;5590
96;1354;4438
97;860;3138
98;589;2169
99;358;1430
100;461;2106
