Paises;Adultos;Idosos;Jovens
Austria;5872628;1790277;1286613
Bulgaria;4286363;1501320;942602
Estonia;833257;274737;216530
Malta;360298;103444;70455
Portugal;6545219;2369818;1344471
Belgium;7429036;2323104;1919041
Croatia;2548101;906625;564818
Cyprus;867803;188506;199588
Czechia;6650570;2172339;1667558
Denmark;3738000;1215014;943532
Finland;3408638;1300561;834029
France;39491112;14123055;11078547
Germany;52872965;18792898;11647034
Greece;6556167;2380134;1424029
Hungary;6775829;2000271;1469968
Ireland;3291184;771398;977747
Italy;37394845;14300143;7260560
Latvia;1149210;405693;285421
Lithuania;1738679;571946;420817
Luxembourg;449838;98878;102560
Netherlands;11275003;3610059;2706413
Poland;27769401;7507606;6200600
Romania;13215261;3670156;3170343
Slovakia;3966195;970043;911233
Slovenia;1351193;449383;319323
Spain;31312084;9743281;6485684
Sweden;6575525;2152365;1853135
